Nombre_Canal,Suscripciones,Cantidad_Videos,Total_Vistas,created_at
Fc Barcelona,15900000,11261,2911840648,2023-10-19
Real Madrid,11300000,6517,1728292469,2023-10-19
Atletico Madrid,349000,2950,39849104,2023-10-19
Sevilla,221000,13573,68885953,2023-10-19
