Nombre_Canal,Suscripciones,Cantidad_Videos,Total_Vistas,created_at
Fc Barcelona,15900000,11270,2914462723,2023-10-22
Real Madrid,11300000,6524,1732297733,2023-10-22
Atletico Madrid,349000,2955,39863571,2023-10-22
Sevilla,222000,13577,68911737,2023-10-22
