Nombre_Canal,Suscripciones,Cantidad_Videos,Total_Vistas,created_at
Fc Barcelona,16000000,11284,2919416845,2023-10-25
Real Madrid,11300000,6528,1738668650,2023-10-25
Atletico Madrid,350000,2958,39909934,2023-10-25
Sevilla,222000,13586,69052426,2023-10-25
