Nombre_Canal,Suscripciones,Cantidad_Videos,Total_Vistas,created_at
Fc Barcelona,15900000,11266,2913488141,2023-10-21
Real Madrid,11300000,6521,1730631167,2023-10-21
Atletico Madrid,349000,2952,39858307,2023-10-21
Sevilla,221000,13574,68894715,2023-10-21
