Nombre_Canal,Suscripciones,Cantidad_Videos,Total_Vistas,created_at
Fc Barcelona,15900000,11275,2917015545,2023-10-23
Real Madrid,11300000,6526,1734017557,2023-10-23
Atletico Madrid,350000,2956,39897269,2023-10-23
Sevilla,222000,13580,68939741,2023-10-23
