Nombre_Canal,Suscripciones,Cantidad_Videos,Total_Vistas,created_at
Fc Barcelona,16000000,11286,2921003480,2023-10-26
Real Madrid,11300000,6530,1740481536,2023-10-26
Atletico Madrid,350000,2963,39921593,2023-10-26
Sevilla,222000,13586,69052426,2023-10-26
