Nombre_Canal,Suscripciones,Cantidad_Videos,Total_Vistas,created_at
Fc Barcelona,15900000,11263,2912633868,2023-10-20
Real Madrid,11300000,6519,1730631167,2023-10-20
Atletico Madrid,349000,2950,39849104,2023-10-20
Sevilla,221000,13573,68885953,2023-10-20
